"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AI","Arlington Asset Investment Corp","25.27","418547363.78","n/a","1972","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ai",
"AIW","Arlington Asset Investment Corp","24.4","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aiw",
"AHH","Armada Hoffler Properties, Inc.","11.14","213580446.88","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/ahh",
"AROW","Arrow Financial Corporation","25.87","313218360.39","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","45.53","5771109620","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ajg",
"APAM","Artisan Partners Asset Management Inc.","51.9","3497304439.8","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apam",
"ASBB","ASB Bancorp, Inc.","16.8999","89659428.1677","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"AHL","Aspen Insurance Holdings Limited","38.06","2522629550.1","n/a","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ahl",
"ASBC","Associated Banc-Corp","16.43","2755524327.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asbc",
"ASBCW","Associated Banc-Corp","1.96","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asbcw",
"AIZ","Assurant, Inc.","53.09","4087463816.71","n/a","2004","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/aiz",
"AGO","Assured Guaranty Ltd.","22.63","4294643100.2","n/a","1987","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","8.8","113886423.2","n/a","1995","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi",
"AF","Astoria Financial Corporation","11.67","1153970748.42","n/a","1991","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"AFCB","Athens Bancshares Corporation","16.51","36294147.63","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/afcb",
"AAME","Atlantic American Corporation","3.77","80609374.69","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACFC","Atlantic Coast Federal Corporation","4.8804","12830869.3044","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATLC","Atlanticus Holdings Corporation","3.53","55079264.23","n/a","1995","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","8.99","73420350.09","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh",
"AUBN","Auburn National Bancorporation, Inc.","22.05","80327003.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn",
"AV","Aviva plc","11","15981421159","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV","Aviva plc","27.2","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/avv",
"AXS","Axis Capital Holdings Limited","47.78","5696167189.02","n/a","1992","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/axs",
"BWINA","Baldwin & Lyons, Inc.","25.4","378795686.4","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","26.29","392068448.64","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BANF","BancFirst Corporation","50.05","762279718.2","n/a","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","26.99","26990000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","8.31","45279939718.95","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","12.14","50977195400","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BCH","Banco De Chile","82.91","12709730236.64","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","25.04","961586330.4","n/a","1992","Finance","Commercial Banks","http://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","5.8","21988306583.6","n/a","2009","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","22.96","10816807655.36","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsac",
"SAN","Banco Santander, S.A.","6.45","60856441304.55","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"CIB","BanColombia S.A.","53.73","6846606824.58","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/cib",
"BKJ","Bancorp of New Jersey, Inc","15.034","79558905.688","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BXS","BancorpSouth, Inc.","18.46","1757058630.86","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bxs",
"BKMU","Bank Mutual Corporation","6","278520504","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bkmu",
"BAC","Bank of America Corporation","13.78","148553598987.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac",
"BOCH","Bank of Commerce Holdings (CA)","4.89","74861146.92","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boch",
"BOH","Bank of Hawaii Corporation","54.01","2421922415.11","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boh",
"BMRC","Bank of Marin Bancorp","44.04","239645862","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmrc",
"BMO","Bank Of Montreal","60.52","39083599459.44","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bmo",
"BK","Bank Of New York Mellon Corporation (The)","30.06","34889040072.54","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bk",
"BNS","Bank of Nova Scotia (The)","54.89","65784018025.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bns",
"BKSC","Bank of South Carolina Corp.","12.99","57791223.99","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","7.93","26587109.25","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/botj",
"OZRK","Bank of the Ozarks","44.84","1585848388.16","n/a","1997","Finance","Major Banks","http://www.nasdaq.com/symbol/ozrk",
"BFIN","BankFinancial Corporation","8.92","187970856.72","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bfin",
"BKU","BankUnited, Inc.","27.71","2784032982.85","n/a","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bku",
"BANR","Banner Corporation","35.09","682913088.22","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banr",
"BHB","Bar Harbor Bankshares, Inc.","38.01","149308943.49","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BCS","Barclays PLC","18.51","59522851572.63","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BBT","BB&T Corporation","34.8","24418840153.2","n/a","1991","Finance","Major Banks","http://www.nasdaq.com/symbol/bbt",
"BBCN","BBCN Bancorp, Inc.","15.03","1187090457.03","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbcn",
"BFR","BBVA Banco Frances S.A.","3.9","697941203.7","n/a","1993","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bfr",
