"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CHYR","ChyronHego Corporation","1.5","45094251","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/chyr",
"CIDM","Cinedigm Digital Cinema Corp","1.44","75196879.2","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cidm",
"CLCT","Collectors Universe, Inc.","14.45","122678245.8","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/clct",
"SCOR","comScore, Inc.","25.01","893237227.03","n/a","1980","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/scor",
"CNSI","Comverse Inc.","30.75","682881424.5","n/a","1991","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cnsi",
"CGX","Consolidated Graphics, Inc.","50.44","486122662.48","n/a","1994","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cgx",
"CSGP","CoStar Group, Inc.","133.19","3801397766.35","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/csgp",
"CPAH","CounterPath Corporation","1.6999","70719494.785","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cpah",
"CRAI","CRA International,Inc.","20.31","206674681.86","n/a","1998","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","33.63","4913229734.16","146096632","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"DHX","Dice Holdings, Inc.","9.72","581952535.2","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DBD","Diebold, Incorporated","33.93","2159879533.11","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"DGIT","Digital Generation, Inc.","7.86","218275446.18","n/a","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dgit",
"DM","Dolan Company (The)","2.04","63069994.56","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dm",
"DTSI","DTS, Inc.","23.84","435383220.96","n/a","1985","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dtsi",
"EBAY","eBay Inc.","57.04","74025916160.16","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"ENV","Envestnet, Inc","27","875114955","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/env",
"EXLS","ExlService Holdings, Inc.","30.33","989622890.28","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls",
"FICO","Fair Isaac Corporation","48.51","1740145286.88","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"FIS","Fidelity National Information Services, Inc.","45.06","13207624106.52","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fis",
"FLT","FleetCor Technologies, Inc.","85.97","6998284256.15","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/flt",
"VIFL","Food Technology Service, Inc.","4.85","13751937.35","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vifl",
"GA","Giant Interactive Group Inc","7.82","1870955895.04","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ga",
"GPN","Global Payments Inc.","48.02","3660610026.92","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"GRVY","GRAVITY Co., Ltd.","1.11","14536218.12","13095692","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"HPY","Heartland Payment Systems, Inc.","38.8","1409601633.2","n/a","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hpy",
"ONE           ","Higher One Holdings, Inc.","11","513928382","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/one           ",
"HMSY","HMS Holdings Corp","25.55","2240840240.45","n/a","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
