"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MCZ","Mad Catz Interactive Inc","0.525","33325634.475","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mcz",
"MAT","Mattel, Inc.","47.08","16261335862.64","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mat",
"MKC","McCormick & Company, Incorporated","71.63","8573155885.58","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mkc",
"MJN","Mead Johnson Nutrition Company","74.27","15037817433.03","n/a","2009","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mjn",
"MCOX","Mecox Lane Limited","2.43","10165523.49","4183343","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/mcox",
"MED","MEDIFAST INC","28.58","394664935.4","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/med",
"MGPI","MGP Ingredients, Inc.","5.64","101149074.12","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mgpi",
"KORS","Michael Kors Holdings Limited","63.82","12917000727.78","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kors",
"TAP","Molson Coors Brewing  Company","51.3","8103706843.5","n/a","1996","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/tap",
"TAP/A","Molson Coors Brewing  Company","51.31","0","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/tap/a",
"MDLZ","Mondelez International, Inc.","30.36","54175982028.96","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mdlz",
"MNST","Monster Beverage Corporation","59.86","9934593546.88","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/mnst",
"MOV","Movado Group Inc.","37.32","952443682.68","n/a","n/a","Consumer Non-Durables","Consumer Specialties","http://www.nasdaq.com/symbol/mov",
"MYE","Myers Industries, Inc.","16.44","550156363.56","n/a","1971","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/mye",
"NAFC","Nash-Finch Company","24.83","304782663.25","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/nafc",
"FIZZ","National Beverage Corp.","17.42","807051441.3","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fizz",
"NLS","Nautilus Group, Inc. (The)","9.7","300943363.3","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/nls",
"NWL","Newell Rubbermaid Inc.","27.04","7801040000","n/a","1972","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/nwl",
"NKE","Nike, Inc.","63.67","56896439862.91","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/nke",
"OME","Omega Protein Corporation","10.22","203544769.96","n/a","1998","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ome",
"SEED","Origin Agritech Limited","1.39","32502108.68","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/seed",
"OFI","Overhill Farms, Inc.","4.96","79590858.24","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ofi",
"OXM","Oxford Industries, Inc.","66.58","1091064436.6","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/oxm",
"PENX","Penford Corporation","14.48","179987167.44","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/penx",
"PEP","Pepsico, Inc.","84.32","130393823933.76","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/pep",
"PERY","Perry Ellis International Inc.","20.68","324013288.72","n/a","1993","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/pery",
"PM","Philip Morris International Inc","89.7","146704994494.5","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/pm",
"PPC","Pilgrim&#39;s Pride Corporation","15.93","4126332495.69","n/a","1986","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/ppc",
"PF","Pinnacle Foods, Inc.","24.29","2848338479.28","n/a","1999","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/pf",
"PZZI","Pizza Inn Holdings, Inc.","5.76","46200493.44","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/pzzi",
"POPE","Pope Resources","71","315418281","n/a","n/a","Consumer Non-Durables","Environmental Services","http://www.nasdaq.com/symbol/pope",
"POST","Post Holdings, Inc.","46.73","1526723166.61","n/a","1994","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/post",
"PRMW","Primo Water Corporation","1.79","42648837.14","n/a","2010","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/prmw",
"PVH","PVH Corp.","131.18","10632619643.52","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/pvh",
